MMSI,Latitude,Longitude,Speed Over Ground (SOG),Course Over Ground (COG),True Heading,Navigational Status,Timestamp (Unix),Timestamp (ISO),Date,Time (UTC)
412226207,40.154306,121.79988,0.1,55,511,15,1633046400,2021-10-01T00:00:00.000Z,2021/10/1,00:00.0
413227640,40.350565,122.015646,0.1,273.2,511,1,1633046400,2021-10-01T00:00:00.000Z,2021/10/1,00:00.0
412226207,40.154321,121.799906,0.12,54.7,511,15,1633046410,2021-10-01T00:00:10.000Z,2021/10/1,00:10.0
413227640,40.350568,122.015648,0.1,269.9,511,1,1633046410,2021-10-01T00:00:10.000Z,2021/10/1,00:10.0
412226207,40.154335,121.799932,0.14,54.5,511,15,1633046420,2021-10-01T00:00:20.000Z,2021/10/1,00:20.0
413227640,40.35057,122.015651,0.1,266.6,511,1,1633046420,2021-10-01T00:00:20.000Z,2021/10/1,00:20.0
412354480,40.33483,121.991369,0,312.3,511,15,1633046420,2021-10-01T00:00:20.000Z,2021/10/1,00:20.0
412226207,40.15435,121.799958,0.16,54.2,511,15,1633046430,2021-10-01T00:00:30.000Z,2021/10/1,00:30.0
413227640,40.350573,122.015654,0.1,263.3,511,1,1633046430,2021-10-01T00:00:30.000Z,2021/10/1,00:30.0
412354480,40.33483,121.99137,0,312.3,511,15,1633046430,2021-10-01T00:00:30.000Z,2021/10/1,00:30.0
636015457,40.298868,122.077452,0,313.6,65,5,1633046430,2021-10-01T00:00:30.000Z,2021/10/1,00:30.0
412226207,40.154365,121.799984,0.18,54,511,15,1633046440,2021-10-01T00:00:40.000Z,2021/10/1,00:40.0
413227640,40.350576,122.015657,0.1,260,511,1,1633046440,2021-10-01T00:00:40.000Z,2021/10/1,00:40.0
412354480,40.33483,121.991371,0,312.3,511,15,1633046440,2021-10-01T00:00:40.000Z,2021/10/1,00:40.0
636015457,40.298868,122.077452,0,313.6,65,5,1633046440,2021-10-01T00:00:40.000Z,2021/10/1,00:40.0
412226207,40.154379,121.80001,0.2,53.8,511,15,1633046450,2021-10-01T00:00:50.000Z,2021/10/1,00:50.0
413227640,40.350578,122.01566,0.1,256.7,511,1,1633046450,2021-10-01T00:00:50.000Z,2021/10/1,00:50.0
412354480,40.33483,121.991372,0,312.3,511,15,1633046450,2021-10-01T00:00:50.000Z,2021/10/1,00:50.0
636015457,40.298869,122.077452,0,313.6,65,5,1633046450,2021-10-01T00:00:50.000Z,2021/10/1,00:50.0
413243650,40.254071,121.738447,0.1,139.6,308,1,1633046450,2021-10-01T00:00:50.000Z,2021/10/1,00:50.0
412226207,40.154394,121.800036,0.22,53.5,511,15,1633046460,2021-10-01T00:01:00.000Z,2021/10/1,01:00.0
413227640,40.350581,122.015663,0.1,253.4,511,1,1633046460,2021-10-01T00:01:00.000Z,2021/10/1,01:00.0
412354480,40.33483,121.991373,0,312.3,511,15,1633046460,2021-10-01T00:01:00.000Z,2021/10/1,01:00.0
636015457,40.298869,122.077452,0,313.6,65,5,1633046460,2021-10-01T00:01:00.000Z,2021/10/1,01:00.0
413243650,40.254071,121.738446,0.1,139.5,308,1,1633046460,2021-10-01T00:01:00.000Z,2021/10/1,01:00.0
412226207,40.154409,121.800062,0.23,53.3,511,15,1633046470,2021-10-01T00:01:10.000Z,2021/10/1,01:10.0
413227640,40.350583,122.015666,0.1,250.1,511,1,1633046470,2021-10-01T00:01:10.000Z,2021/10/1,01:10.0
412354480,40.33483,121.991374,0,312.3,511,15,1633046470,2021-10-01T00:01:10.000Z,2021/10/1,01:10.0
636015457,40.29887,122.077451,0,313.6,65,5,1633046470,2021-10-01T00:01:10.000Z,2021/10/1,01:10.0
413243650,40.25407,121.738446,0.1,139.5,308,1,1633046470,2021-10-01T00:01:10.000Z,2021/10/1,01:10.0
412208840,40.201573,121.957742,0,256.6,511,5,1633046470,2021-10-01T00:01:10.000Z,2021/10/1,01:10.0
412226207,40.154423,121.800088,0.25,53.1,511,15,1633046480,2021-10-01T00:01:20.000Z,2021/10/1,01:20.0
413227640,40.350586,122.015668,0.1,246.8,511,1,1633046480,2021-10-01T00:01:20.000Z,2021/10/1,01:20.0
412354480,40.33483,121.991375,0,312.3,511,15,1633046480,2021-10-01T00:01:20.000Z,2021/10/1,01:20.0
636015457,40.29887,122.077451,0,313.6,65,5,1633046480,2021-10-01T00:01:20.000Z,2021/10/1,01:20.0
413243650,40.25407,121.738445,0.1,139.5,308,1,1633046480,2021-10-01T00:01:20.000Z,2021/10/1,01:20.0
412208840,40.201573,121.957742,0,256.9,511,5,1633046480,2021-10-01T00:01:20.000Z,2021/10/1,01:20.0
700055111,40.283031,121.705261,2.59,180.2,511,15,1633046480,2021-10-01T00:01:20.000Z,2021/10/1,01:20.0
412001580,40.282935,122.099152,0,58.3,511,5,1633046480,2021-10-01T00:01:20.000Z,2021/10/1,01:20.0
412226207,40.154438,121.800114,0.27,52.8,511,15,1633046490,2021-10-01T00:01:30.000Z,2021/10/1,01:30.0
413227640,40.350589,122.015671,0.1,243.5,511,1,1633046490,2021-10-01T00:01:30.000Z,2021/10/1,01:30.0
412354480,40.33483,121.991376,0,312.3,511,15,1633046490,2021-10-01T00:01:30.000Z,2021/10/1,01:30.0
636015457,40.29887,122.077451,0,313.6,65,5,1633046490,2021-10-01T00:01:30.000Z,2021/10/1,01:30.0
413243650,40.254069,121.738444,0.1,139.4,308,1,1633046490,2021-10-01T00:01:30.000Z,2021/10/1,01:30.0
412208840,40.201573,121.957742,0,257.2,511,5,1633046490,2021-10-01T00:01:30.000Z,2021/10/1,01:30.0
700055111,40.282949,121.705259,2.58,180.3,511,15,1633046490,2021-10-01T00:01:30.000Z,2021/10/1,01:30.0
412001580,40.282935,122.099152,0,58.3,511,5,1633046490,2021-10-01T00:01:30.000Z,2021/10/1,01:30.0
412226207,40.154452,121.80014,0.29,52.6,511,15,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
413227640,40.350591,122.015674,0.1,240.2,511,1,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
412354480,40.33483,121.991377,0,312.3,511,15,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
636015457,40.298871,122.077451,0,313.6,65,5,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
413243650,40.254068,121.738443,0.1,139.4,308,1,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
412208840,40.201573,121.957742,0,257.5,511,5,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
700055111,40.282867,121.705257,2.56,180.3,511,15,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
412001580,40.282935,122.099152,0,58.3,511,5,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
412225953,40.278593,122.034189,7.51,162.6,163,15,1633046500,2021-10-01T00:01:40.000Z,2021/10/1,01:40.0
412226207,40.154467,121.800166,0.31,52.3,511,15,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
413227640,40.350594,122.015677,0.1,236.9,511,1,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
412354480,40.33483,121.991378,0,312.3,511,15,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
636015457,40.298871,122.077451,0,313.6,65,5,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
413243650,40.254068,121.738442,0.1,139.4,308,1,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
412208840,40.201573,121.957742,0,257.8,511,5,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
700055111,40.282784,121.705255,2.54,180.4,511,15,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
412001580,40.282935,122.099152,0,58.3,511,5,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
412225953,40.278247,122.0343,7.52,162.8,163,15,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
412207830,40.283545,122.091745,0,284.4,511,5,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
413451140,40.269828,121.741755,0.1,23.4,292,1,1633046510,2021-10-01T00:01:50.000Z,2021/10/1,01:50.0
